0,1,10,0.0,0.77104837,0.52956104,0.5541608,0.9043748,1.0,1.0,1.0,1.0,0.8723127,0.893949,0.94982237,0.8344696,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,1.0,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,0,2.0,,0.0,0.52956104
1,2,10,0.0,0.77104837,0.52956104,0.5541608,0.9043748,1.0,1.0,1.0,1.0,0.8723127,0.893949,0.94982237,0.8344696,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,1.0,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,3.0,,0.0,0.52956104
2,3,10,0.0,0.77104837,0.52956104,0.5541608,0.9043748,1.0,1.0,1.0,1.0,0.8723127,0.893949,0.94982237,0.8344696,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,1.0,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,3.0,,0.0,0.52956104
3,4,10,0.0,0.77104837,0.52956104,0.5541608,0.9043748,1.0,1.0,1.0,1.0,0.8723127,0.893949,0.94982237,0.8344696,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,1.0,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,3.0,,0.0,0.52956104
4,5,10,0.0,0.77104837,0.52956104,0.5541608,0.9043748,1.0,1.0,1.0,1.0,0.8723127,0.893949,0.94982237,0.8344696,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,1.0,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,3.0,,0.0,0.52956104
5,6,10,0.0,0.77104837,0.52956104,0.5541608,0.9043748,1.0,1.0,1.0,1.0,0.8723127,0.893949,0.94982237,0.8344696,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,1.0,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,3.0,,0.0,0.52956104
6,7,10,1.0,0.7709464,0.52939004,0.55401677,0.9041768,1.0,1.0,1.002,1.0,0.87223274,0.893879,0.9497423,0.8343896,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,0.95,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,1.0,,2.0,0.52939004
7,8,10,1.0,0.77076435,0.5292631,0.55375123,0.90389377,1.0,1.0,1.004004,1.0,0.8721727,0.893789,0.9496623,0.8342996,1.0,1.0,1.0,1.0,0.90053624,1.0,0.967158,1.0,0.89,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,1.0,,4.0,0.5292631
8,9,10,2.0,0.77076435,0.5292631,0.55375123,0.90389377,1.0,1.0,1.004004,1.0,0.8721727,0.893789,0.9496623,0.8342996,1.0,1.0,1.0,1.0,0.90048325,1.0,0.967147,1.0,0.884,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,1.0,,6.0,0.5292631
9,10,10,2.0,0.77076435,0.5292631,0.55375123,0.90389377,1.0,1.0,1.004004,1.0,0.8721727,0.893789,0.9496623,0.8342996,1.0,1.0,1.0,1.0,0.90042424,1.0,0.967134,1.0,0.875,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,1.0,,8.0,0.5292631
10,11,10,2.0,0.77076435,0.5292631,0.55375123,0.90389377,1.0,1.0,1.004004,1.0,0.8721727,0.893789,0.9496623,0.8342996,1.0,1.0,1.0,1.0,0.9003642,1.0,0.967121,1.0,0.862,0.747,0.414,0.603,0.733,0.753,0.817,0.801,0.824,0.42,0.803,1,1.0,,10.0,0.5292631
